currentDay,animalsTotalNum,plantsTotalNum,freePositionsNum,bestGenome,avgAnimalEnergy,avgAnimalLifetime
0,100,100,2309,36707605532005763665,0.0,0.0
1,101,196,2210,36707605532005763665,30.89108910891089,0.0
2,102,284,2122,36707605532005763665,33.127450980392155,0.0
3,103,369,2034,36707605532005763665,36.18446601941748,0.0
4,104,452,1959,36707605532005763665,39.75,0.0
5,106,529,1880,36707605532005763665,44.528301886792455,0.0
6,109,605,1811,36707605532005763665,48.93577981651376,0.0
7,113,676,1751,36707605532005763665,53.93805309734513,0.0
8,116,739,1690,36707605532005763665,61.13793103448276,0.0
9,116,797,1621,36707605532005763665,71.0,0.0
10,117,856,1567,36707605532005763665,79.23728813559322,9.0
11,119,913,1510,36707605532005763665,87.68333333333334,9.0
12,122,971,1449,36707605532005763665,95.59016393442623,9.0
13,123,1025,1394,36707605532005763665,104.19354838709677,9.0
14,124,1066,1358,36707605532005763665,116.528,9.0
15,126,1110,1310,36707605532005763665,127.94444444444444,9.0
16,128,1153,1260,36707605532005763665,138.3203125,9.0
17,128,1194,1222,36707605532005763665,149.97674418604652,9.0
18,132,1230,1188,36707605532005763665,160.13636363636363,9.0
19,134,1268,1142,36707605532005763665,170.6417910447761,9.0
20,137,1306,1106,36707605532005763665,179.5036496350365,9.0
21,143,1343,1072,36707605532005763665,182.95138888888889,9.0
22,147,1369,1038,36707605532005763665,193.34013605442178,9.0
23,152,1397,1012,36707605532005763665,200.22368421052633,9.0
24,157,1426,973,60507075233727220572,205.13924050632912,9.0
25,167,1451,954,67033113333627220572,206.61077844311376,9.0
26,171,1464,931,67033113333627220572,216.06432748538012,9.0
27,179,1480,913,67033113333627220572,219.53072625698323,9.0
28,194,1480,913,67033113333627220572,217.0979381443299,9.0
29,203,1485,898,67033113333627220572,220.55665024630542,9.0
30,220,1488,900,67033113333627220572,215.8181818181818,9.0
31,235,1489,878,67033113333627220572,213.74468085106383,9.0
32,252,1472,898,67033113333627220572,211.4822134387352,9.0
33,278,1444,918,67033113333627220572,205.36690647482015,9.0
34,304,1410,925,67033113333627220572,200.11184210526315,9.0
35,329,1379,941,67033113333627220572,195.92705167173253,9.0
36,370,1336,971,67033113333627220572,184.4231805929919,9.0
37,412,1293,989,67033113333627220572,174.7342995169082,9.454545454545455
38,463,1260,996,67033113333627220572,163.26021505376343,9.384615384615385
39,532,1217,1014,67033113333627220572,149.32771535580525,9.333333333333334
40,606,1191,1018,67033113333627220572,136.49177631578948,9.294117647058824
41,684,1150,1033,67033113333627220572,125.88517441860465,9.238095238095237
42,781,1108,1042,67033113333627220572,115.32097186700767,9.227272727272727
43,891,1067,1054,67033113333627220572,104.84770436730123,9.208333333333334
44,1006,1021,1071,67033113333627220572,96.44091360476664,9.2
45,1138,995,1080,67033113333627220572,87.6219298245614,9.185185185185185
46,1272,950,1079,67033113333627220572,80.79858934169279,9.161290322580646
47,1409,907,1097,67033113333627220572,74.99151943462897,9.135135135135135
48,1556,860,1118,67033113333627220572,69.58418367346938,9.10204081632653
49,1716,811,1138,67033113333627220572,64.89571263035921,9.254237288135593
50,1871,769,1143,67033113333627220572,60.63737427210164,9.922077922077921
51,2027,737,1148,67033113333627220572,56.885365853658534,9.86
52,2168,709,1147,32115675025477040120,53.625452898550726,10.07857142857143
53,2310,689,1158,32115675025477040120,50.48335440370838,10.334975369458128
54,2427,664,1129,32115675025477040120,48.39217252396166,10.396428571428572
55,2535,642,1138,32115675025477040120,46.442672741078205,10.585751978891821
56,2621,608,1133,32115675025477040120,45.3006224826071,10.627811860940696
57,2703,586,1145,32115675025477040120,44.1065109695683,10.790849673202615
58,2786,555,1147,32115675025477040120,43.12379972565158,10.773584905660377
59,2846,537,1124,32115675025477040120,42.42128230949983,10.744
60,2894,525,1125,32115675025477040120,41.54506719108489,10.890503875968992
61,2941,493,1121,07061253360566245601,41.0491961414791,11.007493755203997
62,2963,471,1118,07061253360566245601,40.75429116338207,11.21893063583815
63,2984,447,1124,07061253360566245601,40.6652983896432,11.323548181238035
64,2998,438,1141,07061253360566245601,40.35378835316218,11.44526375496313
65,3042,411,1134,07061253360566245601,40.18181818181818,11.52366255144033
66,3060,394,1123,07061253360566245601,39.692048929663606,11.632776230269267
67,3083,377,1130,07061253360566245601,39.60798050563509,11.66822429906542
68,3113,364,1102,07061253360566245601,39.43636363636364,11.721763085399449
69,3130,355,1110,07061253360566245601,39.14259927797834,11.773674588665449
70,3147,334,1106,67033113333627220572,38.918531781557746,11.819666553249405
71,3202,331,1117,72076541770131607514,38.461879432624116,11.863505286767062
72,3243,314,1120,72076541770131607514,37.87238372093023,11.922543701024713
73,3306,306,1117,72076541770131607514,37.293864678899084,11.923428571428571
74,3338,293,1094,72076541770131607514,36.52233773531891,11.979575382961569
75,3356,286,1095,07061253360566245601,36.22073204805812,12.023073022312373
76,3369,278,1073,07061253360566245601,36.09575656058068,12.025739716141448
77,3389,274,1075,07061253360566245601,35.91664343462504,12.083352468427096
78,3443,273,1091,07061253360566245601,35.40601711288987,12.137375964718853
79,3479,263,1063,07061253360566245601,34.74151506923703,12.195399873391011
80,3465,262,1078,07061253360566245601,34.43332431701379,12.260510963588816
