currentDay,animalsTotalNum,plantsTotalNum,freePositionsNum,bestGenome,avgAnimalEnergy,avgAnimalLifetime
0,100,100,2304,41401325246275413605,0.0,0.0
1,103,196,2210,41401325246275413605,30.29126213592233,0.0
2,103,289,2113,41401325246275413605,31.33009708737864,0.0
3,105,379,2027,41401325246275413605,32.60952380952381,0.0
4,108,464,1944,16664664337302050212,34.898148148148145,0.0
5,114,554,1852,16664664337302050212,34.74561403508772,0.0
6,120,632,1773,16664664337302050212,37.55833333333333,0.0
7,121,707,1697,16664664337302050212,42.45454545454545,0.0
8,126,779,1628,16664664337302050212,46.476190476190474,0.0
9,129,849,1557,16664664337302050212,51.395348837209305,0.0
10,132,920,1486,16664664337302050212,54.6,9.0
11,137,982,1423,16664664337302050212,61.13868613138686,9.0
12,144,1044,1366,16664664337302050212,65.13194444444444,9.0
13,147,1087,1313,41401325246275413605,73.95270270270271,9.0
14,151,1131,1271,41401325246275413605,82.08552631578948,9.0
15,154,1169,1227,41401325246275413605,90.35031847133757,10.5
16,161,1210,1188,41401325246275413605,98.12422360248448,10.5
17,170,1239,1155,41401325246275413605,103.29651162790698,10.2
18,180,1272,1119,01472632325267413151,108.31491712707182,10.090909090909092
19,199,1306,1086,01472632325267413151,107.55778894472361,10.090909090909092
20,223,1329,1061,01472632325267413151,105.44843049327355,10.090909090909092
21,242,1329,1046,01472632325267413151,108.64462809917356,10.090909090909092
22,268,1325,1046,01472632325267413151,108.84328358208955,10.090909090909092
23,295,1320,1043,01472632325267413151,108.65084745762712,10.090909090909092
24,326,1312,1049,01472632325267413151,106.69817073170732,9.923076923076923
25,369,1298,1062,01472632325267413151,103.22222222222223,9.923076923076923
26,418,1267,1063,01472632325267413151,99.64114832535886,9.923076923076923
27,471,1236,1069,01472632325267413151,95.88535031847134,9.923076923076923
28,525,1213,1071,01472632325267413151,91.97908745247149,9.857142857142858
29,593,1188,1069,01472632325267413151,87.02360876897133,9.857142857142858
30,665,1160,1078,01472632325267413151,82.11377245508982,10.0
31,753,1120,1109,01472632325267413151,77.22751322751323,9.85
32,859,1085,1116,01472632325267413151,71.71860465116279,9.80952380952381
33,968,1042,1135,01472632325267413151,66.84599589322382,9.62962962962963
34,1087,997,1141,01472632325267413151,62.65690759377859,9.818181818181818
35,1222,957,1166,01472632325267413151,58.34637326813366,9.973684210526315
36,1363,931,1170,01472632325267413151,54.11970802919708,10.377777777777778
37,1504,912,1171,01472632325267413151,50.35883905013193,10.350877192982455
38,1645,872,1163,01472632325267413151,47.578567128236,10.26027397260274
39,1794,847,1164,01472632325267413151,44.89042612064195,10.476744186046512
40,1934,819,1162,01472632325267413151,42.2510162601626,10.6
41,2083,803,1162,01472632325267413151,39.93490566037736,10.573248407643312
42,2231,776,1168,02550062236370002310,37.89030276437034,10.497560975609757
43,2368,743,1186,02550062236370002310,36.15065681444992,10.435897435897436
44,2474,712,1181,02550062236370002310,34.887806778340476,10.562841530054644
45,2578,681,1203,02550062236370002310,33.950709484690066,10.624463519313304
46,2673,665,1199,02550062236370002310,32.80472103004292,10.853989813242784
47,2777,640,1193,02550062236370002310,32.06782006920415,10.876068376068377
48,2872,614,1187,02550062236370002310,31.188666666666666,11.0144578313253
49,2932,601,1186,02550062236370002310,30.534936626584336,11.227692307692308
50,2976,587,1189,02550062236370002310,30.002863506204264,11.331873905429072
51,3019,551,1195,02550062236370002310,29.845189595738013,11.426179604261796
52,3049,535,1181,02550062236370002310,29.647734326505276,11.530598520511097
53,3091,506,1205,02550062236370002310,29.419700214132764,11.593393393393393
54,3107,487,1196,02550062236370002310,29.261146496815286,11.670080862533693
55,3127,477,1185,02550062236370002310,29.05933734939759,11.74658203125
56,3148,457,1191,02550062236370002310,28.84824090638044,11.843833185448092
57,3170,444,1198,02550062236370002310,28.679407407407407,11.824318828792192
58,3162,428,1190,02550062236370002310,28.659568175096126,11.903286034353995
59,3181,412,1203,02550062236370002310,28.654948301329394,11.971894517696045
60,3196,403,1178,02550062236370002310,28.494705882352942,11.992871030460142
61,3207,388,1174,02550062236370002310,28.450836513061343,12.011564211807668
62,3193,380,1164,06534747362726714344,28.277323202805377,12.099857752489331
63,3176,363,1138,06534747362726714344,28.5870720188902,12.116715857257848
64,3170,341,1163,06534747362726714344,28.675819309123117,12.15314401622718
65,3161,323,1175,06534747362726714344,28.712514757969302,12.196116039319108
66,3159,311,1148,06534747362726714344,28.78922439313203,12.240546697038724
67,3157,298,1152,06534747362726714344,28.895424836601308,12.29332463579039
68,3153,278,1167,06534747362726714344,28.90483249332938,12.332849138825482
69,3168,255,1181,06534747362726714344,29.06775631500743,12.35047846889952
70,3202,254,1177,06534747362726714344,28.67,12.37686996547756
71,3237,251,1151,02550062236370002310,28.287627365356624,12.408536585365853
72,3269,242,1141,02550062236370002310,27.954755043227667,12.440584357740958
73,3299,225,1147,45030557337277403303,27.821961009174313,12.470699758703896
74,3328,208,1151,45030557337277403303,27.543984108967084,12.492330776925641
75,3316,197,1140,57556306556245065465,27.318386914833614,12.568240205523443
76,3345,194,1132,57556306556245065465,27.166807551422934,12.584888059701493
77,3376,194,1126,57556306556245065465,26.875805999439304,12.581156575569983
78,3388,196,1132,57556306556245065465,26.536361103371412,12.61708675263775
79,3368,189,1101,57556306556245065465,26.364647026125624,12.638077686419052
80,3360,191,1111,56730454134142135714,26.32811626607043,12.6747799779978
81,3382,181,1133,56730454134142135714,26.119021134593993,12.695965802831953
82,3375,184,1122,56730454134142135714,25.978824185009753,12.735454545454546
83,3402,172,1136,56730454134142135714,25.771404821280132,12.754647780447705
84,3398,171,1142,56730454134142135714,25.40681693238043,12.780900945133178
85,3401,176,1117,56730454134142135714,25.32246476927328,12.777405857740586
86,3410,167,1127,56730454134142135714,25.191225165562916,12.803823289427672
87,3415,157,1098,46052260625336145422,25.03963666391412,12.865863362509947
88,3420,159,1101,46052260625336145422,24.82838283828383,12.851991567735492
89,3427,156,1086,46052260625336145422,24.69179966978536,12.883731019522777
90,3414,153,1097,46052260625336145422,24.42782799233087,12.923548694089035
91,3398,157,1082,46052260625336145422,24.430781983973475,12.946063236205827
92,3383,152,1073,46052260625336145422,24.382034932076518,12.962835790749343
93,3366,154,1067,46052260625336145422,24.29139994433621,12.989041366373778
94,3357,155,1076,46052260625336145422,24.246222719641857,13.010245505509376
95,3350,151,1088,46052260625336145422,24.05861010326542,13.04499480102089
96,3324,154,1082,00661573675440616521,24.099464637926175,13.056090336912254
97,3329,152,1087,00661573675440616521,23.968432919954903,13.060782001270072
98,3343,148,1113,00661573675440616521,23.834366197183098,13.084327693677649
99,3329,144,1083,00661573675440616521,23.646629213483145,13.118052525957596
100,3317,146,1111,35011041300161731365,23.538591549295774,13.155891910381392
101,3296,151,1094,35011041300161731365,23.58724736692286,13.1876416757619
102,3270,154,1130,35011041300161731365,23.52946224256293,13.209359808848975
103,3295,148,1112,35011041300161731365,23.43237060337432,13.23405462355134
104,3284,150,1123,35011041300161731365,23.29974234182651,13.244022951864839
105,3306,141,1139,35011041300161731365,23.215961098398168,13.279321714554875
106,3279,139,1117,35011041300161731365,23.045104196403084,13.319935195185929
107,3262,139,1115,35011041300161731365,23.07940161104718,13.343123861566484
108,3242,149,1120,35011041300161731365,22.869314910765688,13.376491646778042
